name,stars,text,timeSince,openStatus,key
Chris Morein,4.0,Better pizza than CiCis. Pizza bar lacking at times. Friendly staff !,2 years ago,Closed,2000671949
Rido Kilos,5.0,Love this place. Friendly staff and a great place to take a family,2 years ago,Closed,2000671949
Cornel Cosman,5.0,"Great place, good food and games for the kids! Me and my kids we really enjoy it!",2 years ago,Closed,2000671949
Richard Escobar,5.0,"Quiet, really good food very attentive staff kids loved the arcade",2 years ago,Closed,2000671949
carole brumley,3.0,"The casual atmosphere was pleasant. I liked the thin, crisp crust of the pizza, but other than that, it was just okay. The staff was nice",3 years ago,Closed,2000671949
Andrew Neal,5.0,Great food and wonderful service top.  Staff is very friendly and restaurant is very well kept.  Very clean and well done interior.  Great game room reminiscent of ages past.,3 years ago,Closed,2000671949
Tom Clark,5.0,Nice place with great food.,a year ago,Closed,2000671949
Sara Gaston,4.0,"This was our first time eating at Mr. Gatti's and I must say I was surprised at the quality of the buffet and salad bar, especially for the price. I thought it would be a little more low budget, watery tasting, but it was actually good. Not …More",2 years ago,Closed,2000671949
linda everitt coleman,5.0,Very clean restaurant. Friendly folks. Tasty selction of pizza. Loved the macaroni and cheese and green beans. Thankful to have mr gattis close enough to drive to.,2 years ago,Closed,2000671949
Patrick Allen,5.0,Good price for a pizza buffet. They cook the pizzas in an actual pizza oven.,a year ago,Closed,2000671949
Heavy Early,2.0,It was disappointing. I remember gattis from when I was a teen and always loved it there.  I got there at one o'clock to find several families there but nothing but old pizza which was mostly cheese pizza. I ordered a buffet and drink but …More,2 years ago,Closed,2000671949
Michelle Conley,3.0,"Friendly service.  Food is blah....well...it is a buffet, enough said.",2 years ago,Closed,2000671949
Joe Tab,5.0,"1st time at this restaurant, but we love Mr. Gattis! We drove all the way from S.  Arlington. Great place, clean and appears new! We're definitely coming back!",2 years ago,Closed,2000671949
Susan Hunt,1.0,"Poor poor poor quality food - at nite, run by inexperienced young people
with no true manager on the job.  Only about twenty people and they
referred to having NO pizza to speak of on the bar for the two hours …More",2 years ago,Closed,2000671949
Team Betts,4.0,Great Service and a wonderful atmosphere.,a year ago,Closed,2000671949
Trinity Lee,2.0,"They took 20 minutes to make a small pizza with no cheese. At the time it wasn't even that busy, maybe 3 tables were occupied. It tasted good though.",2 years ago,Closed,2000671949
G Mc,1.0,"They changed to Buffet style. Honestly, if you been to Cici's pizza, there is really no difference. Also, alot of dirty dishes in the ""clean"" stack. Put dirty ones aside, only to watch them put them back with the clean ones. What!!? Dishes upright and put aside are for a reason. Will I be back? No way.",2 years ago,Closed,2000671949
Sabrina Bagoje,5.0,I love to come to Mr. Gattis Pizza in North Richland. Always a wonderful experience with my family and that sauce is amazing!,2 years ago,Closed,2000671949
Greg Henry,5.0,Great food and the game room was awesome.,a year ago,Closed,2000671949
William Sanders,2.0,Quality of the pizza was disappointing. Lacked flavor. The salad bar had wilted lettuce and celery was brown,2 years ago,Closed,2000671949
I C,2.0,"Average pizza that doesn't quite match its flashy logo and looks. It wasn't bad in the way that they were able to minimize ""glue"" (cheese dough interface goup), but I don't feel anything special about the pizza itself. Giving it a rating of average, with a little bit of disappointment.",2 years ago,Closed,2000671949
Tim Byrns,5.0,Great pizza & free video games for kiddos. Very family friendly!,3 years ago,Closed,2000671949
Stephen Schwartz,5.0,"Great pizza. Free video games for kids. Service was good but a bit slow. Not true thin crust, but close.",3 years ago,Closed,2000671949
JJ G,4.0,"Impressed with space, but they couldn't keep up with buffet demands which takes away a star",2 years ago,Closed,2000671949
Tom & Misty Swan,1.0,"Poor food, worse service.  They forgot to bring out one pizza and when we went in to ask about it, they completely ignored us. We went in to ask again, and they admitted they were ignoring us, said yup and then turned around and walked off. …More",3 years ago,Closed,2000671949
Bitsie Welch,5.0,"Good food, friendly service, very clean and good price.",2 years ago,Closed,2000671949
Dianne Thatcher,5.0,A great salad bar along with the pizza buffet.,a year ago,Closed,2000671949
Karon Jones,5.0,Awesome buffet! Many choices and good price!,a year ago,Closed,2000671949
Denise Farrell,2.0,The salad bar wasn't very fresh at all and the pizza wasn't up to par either.,a year ago,Closed,2000671949
Johnathan Bowman,5.0,Awesome food awesome prices,a year ago,Closed,2000671949
Asa Henderson,5.0,I've loved this place since I was a kid.  Very happy to see it expanding to my area.,3 years ago,Closed,2000671949
Ty Wood,1.0,"It's now a buffet, I wish it was still like when they first opened. I will definitely not be coming back again .",2 years ago,Closed,2000671949
Michelle Kilburn,3.0,"Salad great. Kids liked game area...small area,g good for very young kids, no older kid games. Pizza ok.",3 years ago,Closed,2000671949
Blake Hutchison,4.0,"Amazing wood fired pizza, I love the new game room as well",2 years ago,Closed,2000671949
Jimpson Moore,1.0,I order a pizza they give me an hot pizza I don't know why? The manager looks very unpleasant person.,2 years ago,Closed,2000671949
Garyn Rictor,4.0,Pizza was good and lots of fruit options on the salaf bar,a year ago,Closed,2000671949
