name,stars,text,timeSince,openStatus,key
Garrett Broussard,5.0,It's not a fancy sit down place but you can make your pizza EXACTLY the way you want and it's really cheap! I love this place and go pretty often.,8 months ago,Open,209
Ruben Zuniga,5.0,"Good original crust, good sauce, and what a meatball! And Lagunitas on tap, impressed! I know, I'm late on this one.",10 months ago,Open,209
Abdullah Alhamdan,5.0,Honestly one of the best pizzas I've had. Reasonably priced and quick service.,2 years ago,Open,209
Elva Elizabeth Gonzalez,5.0,"Pizza is Delicious, Customer Service is Awesome. I truly enjoyed it",10 months ago,Open,209
Kevin Mac,5.0,"I've never seen this place be empty or slow, great food, decently priced, hopefully you can find parking. I've tried not to eat the whole pizza in one sitting but nope can't do it.",8 months ago,Open,209
francesss B.,5.0,I mean it's build your own pizza. Of course i give it a five star. 😝,a year ago,Open,209
Mylife_as Tara,5.0,"Delicious! My favorite is the Art Lover, but I have never had an issue with Blaze.",11 months ago,Open,209
joshua Paul,1.0,1st time At a blaze. Was asked if first time. Ordered squash  Salad w/out  pineapple. Literally only 3 pieces of feta.was put on. Hardly any toppings. Was rushed through line and wasn’t Informed I could add toppings for free Paid over $9 …More,a year ago,Open,209
Dave de Csepel,5.0,"great pizza, well run place.",5 months ago,Open,209
Tezla Gallardo,3.0,A bit overpriced for my taste but had decent pizza. Thin crust pizza is quite nice; think of it as similar to pieology in reference to thickness.,9 months ago,Open,209
miguel romero,5.0,There was a half pizza meal that was offered . Great staff and service. Are meals were freshly made. What impressed us the smiles from all the staff members. Keep up the good work!!!,a year ago,Open,209
Daryell Claude Camacho,5.0,"I'm speechless, for now. Just wanted to post the shots of the pizza. It looks small yet packs a tremendous amount of bite!",a year ago,Open,209
Lisa Blanchard,5.0,"What can I say about Blaze.... well, there is always a line, but never a wait. The prices are a little high but if you go before 4pm, you can walk out for $8 with drink. Always cooked perfectly with the right balance of sauce to cheese. Yummy treat for me.",a year ago,Open,209
Zoey Emerald,5.0,"Literally the best place to eat pizza. Make sure to tip Jaz and Dora, the best employees there.",a year ago,Open,209
Krista Ricci,5.0,Love the regular pizzas and the gluten free pizza crust and that I can have the option of dairy free as well.,a year ago,Open,209
Matthew Pan,5.0,This place is very family friendly. Has diaper change table in the restroom. Pizza was delicious!,a year ago,Open,209
John Goertz,5.0,"Great food, the staff is always friendly. Get your is custom personal pizza quickly.",a year ago,Open,209
Priscilla Williams,5.0,"Busy as usual, but the staff was very nice. Thanks!",8 months ago,Open,209
Say young Lee,5.0,"Super fast and fresh, great online deal",10 months ago,Open,209
denison rod,5.0,"Delicious pizza , great ambient , perfect for any time , just choose your favourite Ingredients and that's all easy and fast",2 years ago,Open,209
Chanchal Kohli,5.0,"Delicious pizza, can build my own pizza,  quick service",11 months ago,Open,209
Adriann Minton,3.0,"The food is awesome! However, the staff we're very unfriendly and made ordering our food a little difficult and not a fun experience. Perhaps everyone was having a bad day? Besides that, thanks for the good food!",a year ago,Open,209
Darwin Hood,5.0,"180 seconds to a perfect pizza. Unsurpassed ingredients, beginning with sauces that complement without ever disappointing, top drawer cheeses, meats and fresh toppings. The dough is just the right thickness and you can lower your carbs with their new Keto crust. Your only limitation to a  superlative pizza is you.",a year ago,Open,209
Kathy Lara,5.0,I went to blaze pizza in Pasadena and Glendale. I always ordered gluten free. It's taste good !!,a year ago,Open,209
Letty Porter,4.0,"Love this place, good vegan choices.",7 months ago,Open,209
Eric Scot,4.0,Always a great night when I can get to#Blazepizza,2 years ago,Open,209
Richard Tafoya,5.0,"Good pizza, great customer service. We ordered ahead online for pickup and party of the order got messed up in the system. The crew identified the problem and fixed it on the spot and comped us another pizza for our next visit for the …More",a year ago,Open,209
Susy Chavez,4.0,Love the vegan cheeses they offer!,9 months ago,Open,209
Angela T,2.0,"Sorry gang. The cauliflower crust was a big fail for me. You have the best gluten free crust, and I have to go to a further away Blaze to get it. It tasted like mushed together crackers, and not dough like at all , and it didn't ccompliment …More",a year ago,Open,209
Milan Dalsania,5.0,Great pizza for sure,3 months ago,Open,209
malak masooud,1.0,"The rude worker work there ever, the lady rude me twice,,,,",3 months ago,Open,209
David Hadwen,5.0,It’s all about the GF base and the post-oven pesto drizzle 👌🏼👌🏼,2 years ago,Open,209
Melisa Lopez-moya,5.0,staff is very friendly! pizza was amazing!,9 months ago,Open,209
John Dobbins,4.0,"The pizza was very tasty, and I like the pricing system: one  fixed price for whatever you want to put on your pizza. Cooking was fast, but not the overall experience. Lines were slow. Communicating what I wanted on my pizza was harder than it should have been. Also the register was acting up, so it took three tries to pay for my food.",a year ago,Open,209
Armando Marquez Junior,5.0,It's the best place to eat pizza,11 months ago,Open,209
Paul NGO,5.0,The pizza is good and you can made your own pizza and all the topping you wanted,a year ago,Open,209
Evelyn Hua,5.0,Every experience at Blaze pizza is always a great one.  Every one of the staff members are so friendly.  I recommend Blaze pizza if you're looking for good pizza and exceptional customer service.,a year ago,Open,209
Lisa Blanchard,4.0,"Always amazing pizza... line is long but moves pretty quick. I'd give it a 5 star but even a half pizza with 1 topping is still almost $6, and that's even without a drink.  I guess that's becoming the norm, but it makes eating lunch out a bit more than I want to spend.  If I decide to eat out, I always treat myself to Blaze!",2 years ago,Open,209
Dallas Spadoni,5.0,"Build your own, trust me.😈👅💦",a year ago,Open,209
Robert Aster,4.0,"A good place to go for pizza. Fast service, lots of options.",a year ago,Open,209
Shahè keshishian,5.0,I love the fresh brick oven tastes amazzzing,a year ago,Open,209
Christopher Graydon,5.0,"Fresh ingredients, tasty thin crust pizza, fast!",11 months ago,Open,209
